categoria,archivo,nombre_visible,url
Reglamentarias,Reglamentarias\Paradero.png,Paradero,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr40_paradero.png
Reglamentarias,Reglamentarias\Prohibido Dejar Recoger Pasajeros.png,Prohibido Dejar Recoger Pasajeros,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr41_prohibido_dejar_recoger_pasajeros.png
Reglamentarias,Reglamentarias\Zona Carga.png,Zona Carga,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr42_zona_carga.png
Reglamentarias,Reglamentarias\Prohibido Carga.png,Prohibido Carga,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr43_prohibido_carga.png
Reglamentarias,Reglamentarias\Espaciamiento.png,Espaciamiento,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr44_espaciamiento.png
Reglamentarias,Reglamentarias\Separador Izquierda.png,Separador Izquierda,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr45_separador_izquierda.png
Reglamentarias,Reglamentarias\Separador Derecha.png,Separador Derecha,https://practicatest.co/static/img/co/temario/senales_reglamentarias/sr46_separador_derecha.png
Preventivas,Preventivas\CURVA PELIGROSA A LA IZQUIERDA.png,CURVA PELIGROSA A LA IZQUIERDA,https://practicatest.co/static/img/co/temario/senales_preventivas/sp01_curva_peligrosa_izquierda.png
Preventivas,Preventivas\CURVA PELIGROSA A LA DERECHA.png,CURVA PELIGROSA A LA DERECHA,https://practicatest.co/static/img/co/temario/senales_preventivas/sp02_curva_peligrosa_derecha.png
Preventivas,Preventivas\Curva Pronunciada Izquierda.png,Curva Pronunciada Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp03_curva_pronunciada_izquierda.png
Preventivas,Preventivas\Curva Pronunciada Derecha.png,Curva Pronunciada Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp04_curva_pronunciada_derecha.png
Preventivas,Preventivas\Contracurva Derecha.png,Contracurva Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp05_contracurva_derecha.png
Preventivas,Preventivas\Contracurva Izquierda.png,Contracurva Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp06_contracurva_izquierda.png
Preventivas,Preventivas\Curva Sucesiva Derecha.png,Curva Sucesiva Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp07_curva_sucesiva_derecha.png
Preventivas,Preventivas\Curva Sucesiva Izquierda.png,Curva Sucesiva Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp08_curva_sucesiva_izquierda.png
Preventivas,Preventivas\Contracurva Pronunciada Izquierda.png,Contracurva Pronunciada Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp09_contracurva_pronunciada_izquierda.png
Preventivas,Preventivas\Contracurva Pronunciada Derecha.png,Contracurva Pronunciada Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp10_contracurva_pronunciada_derecha.png
Preventivas,Preventivas\Interseccion Vias.png,Interseccion Vias,https://practicatest.co/static/img/co/temario/senales_preventivas/sp11_interseccion_vias.png
Preventivas,Preventivas\Via Lateral Izquierda.png,Via Lateral Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp12_via_lateral_izquierda.png
Preventivas,Preventivas\Via Lateral Derecha.png,Via Lateral Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp13_via_lateral_derecha.png
Preventivas,Preventivas\Bifuracion En T.png,Bifuracion En T,https://practicatest.co/static/img/co/temario/senales_preventivas/sp14_bifuracion_en_t.png
Preventivas,Preventivas\Bifucacion En Y.png,Bifucacion En Y,https://practicatest.co/static/img/co/temario/senales_preventivas/sp15_bifucacion_en_y.png
Preventivas,Preventivas\Bifuracion Izquierda.png,Bifuracion Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp16_bifuracion_izquierda.png
Preventivas,Preventivas\Bifuracion Derecha.png,Bifuracion Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp17_bifuracion_derecha.png
